ColorId,StructName,RGB,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
2,Left-Cerebral-White-Matter,"[245, 245, 245]",f106ed736e9e81fababc2a23955efcf05bcef9ab,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",37.62811642885208,0.0,2035.0,5a9fd86c3b6bbd836eae31e705542f383486a4fa,"(1.0, 1.0, 1.0)","(256, 256, 256)","(38, 30, 120, 155, 104, 67)",212317,5,"(np.float64(109.18726715241831), np.float64(79.22890300823768), np.float64(148.58324109703887))","(109.18726715241831, 79.22890300823768, 148.58324109703887)",0.5597487630924473,0.33650894743186277,48.737113663364944,144.83155361933834,151.19854496654392,99.86490875177326,155.92626462530293,163.79560433662436,211821.20833333334,81.06928299518209,0.18089052293605754,94998.03109718749,0.4484821507943314,212317.0,2.0,2.0,849268.0,-3.203426503814917e-16,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,849268.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.1594608140584732,47734.32077035753,0.22482571235632348,21.772082326448153,212317.0,0.0,1.0,561.5492165017404,561.5492165017404,561.5492165017404,1.0,0.0022897826640347306,0.0022897826640347306,0.0022897826640347306,30760.615384615383,1.0,0.0,1.0,123.58815978973311,123.58815978973311,123.58815978973311,1.0,4.05468432978018,3036.4137975543754,0.09531114828992952,0.14488060487203278,69.19260861146255,0.18863938399739594,0.18863938399739594,0.18863938399739594,5.0,1.0,0.0,1.0,9015361994.6,9015361994.6,9015361994.6,1.0,3.4,0.68,0.8000000000044368,0.8000000000044368,0.8000000000044368,0.7219280948873616,2.3549692205522872e-05,7212221655.039999,0.0,1000000.0,0.0,0.0,0.0
4,Left-Lateral-Ventricle,"[120, 18, 134]",f106ed736e9e81fababc2a23955efcf05bcef9ab,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",37.62811642885208,0.0,2035.0,bb42e7940cb000afc08c2061941f3e088d77cd93,"(1.0, 1.0, 1.0)","(256, 256, 256)","(76, 65, 120, 79, 39, 37)",14579,1,"(np.float64(114.05583373345223), np.float64(79.2122916523767), np.float64(134.20783318471774))","(114.05583373345223, 79.2122916523767, 134.20783318471774)",0.31776331944364333,0.22947699278874345,19.86429126692932,86.56332395473035,74.33034373659252,37.013511046643494,65.49045732013177,85.77878525602937,14518.833333333334,27.506649161930564,0.5086792723907774,5657.977676946136,0.38969919600607045,14579.0,4.0,4.0,233264.0,-3.203426503814917e-16,0.0,0.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,233264.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,2.8419960767859425,4266.311475409836,0.29263402671032557,20.638310699125938,14579.0,0.0,1.0,583.0916386583442,583.0916386583442,583.0916386583442,1.0,0.0021223699919589987,0.0021223699919589987,0.0021223699919589987,1841.3846153846155,1.0,0.0,1.0,109.29563181901729,109.29563181901729,109.29563181901729,1.0,4.026502874059355,143.67276137824564,0.0734013822599868,0.12630390392925547,31.116633589900296,0.09342754138444972,0.09342754138444972,0.09342754138444972,1.0,1.0,0.0,1.0,212547241.0,212547241.0,212547241.0,1.0,1.0,1.0,4.704836417989543e-09,4.704836417989543e-09,4.704836417989543e-09,-3.203426503814917e-16,6.859181013786954e-05,0.0,0.0,1000000.0,0.0,0.0,0.0
5,Left-Inf-Lat-Vent,"[196, 58, 250]",f106ed736e9e81fababc2a23955efcf05bcef9ab,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",37.62811642885208,0.0,2035.0,edc63aea0943d7d383fbabaa2b759bd5103d935e,"(1.0, 1.0, 1.0)","(256, 256, 256)","(96, 101, 141, 39, 12, 18)",374,2,"(np.float64(116.99732620320856), np.float64(105.0), np.float64(151.35026737967914))","(116.99732620320856, 105.0, 151.35026737967914)",0.3047321348197489,0.08018990929982363,4.38557523755894,54.68986404712876,35.4400902933387,15.297058540778355,39.05124837953327,41.02438299353203,347.75,16.665759024083382,0.420060398460168,569.3121821256465,1.637130645940033,374.0,5.0,5.0,9350.0,-3.203426503814917e-16,0.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,9350.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,4.1163554524178165,25.50802139037433,0.06820326574966398,19.87446023620921,374.0,0.0,1.0,220.6951871657754,220.6951871657754,220.6951871657754,1.0,0.007408687676930318,0.007408687676930318,0.007408687676930318,184.53846153846155,1.0,0.0,1.0,6.636574228266691,6.636574228266691,6.636574228266691,1.0,1.894628462712702,64.37388131011629,0.3247283740329542,0.4934183463595228,1.5171548924079223,0.47759248794077513,0.47759248794077513,0.47759248794077513,2.0,1.0,0.0,1.0,35930.0,35930.0,35930.0,1.0,1.0,0.5,3.10666935384487e-05,3.10666935384487e-05,3.10666935384487e-05,0.9999999999999993,0.0053475935828877,961.0,0.0,1000000.0,0.0,0.0,0.0
7,Left-Cerebellum-White-Matter,"[220, 248, 164]",f106ed736e9e81fababc2a23955efcf05bcef9ab,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",37.62811642885208,0.0,2035.0,dd6ce0642447529f9d083fa0a0cafae3cae7e6d8,"(1.0, 1.0, 1.0)","(256, 256, 256)","(67, 106, 128, 50, 45, 44)",14270,1,"(np.float64(91.33139453398739), np.float64(132.2998598458304), np.float64(145.00967063770148))","(91.33139453398739, 132.2998598458304, 145.00967063770148)",0.9215631670178264,0.49225654443782774,20.203525680864853,41.042675631540675,48.60041152089147,51.86520991955976,53.665631459994955,55.80322571321482,14173.458333333334,37.823418137888,0.38247706237033363,7405.071967013736,0.5224604886725766,14270.0,7.0,7.0,699230.0,-3.203426503814917e-16,0.0,0.0,7.0,0.0,7.0,7.0,7.0,0.0,0.0,7.0,0.0,699230.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.2400701785272124,3312.11184302733,0.2321031424686286,29.7839371732171,14270.0,0.0,1.0,543.011212333567,543.011212333567,543.011212333567,1.0,0.002855771032869957,0.002855771032869957,0.002855771032869957,2385.0,1.0,0.0,1.0,81.1082384823993,81.1082384823993,81.1082384823993,1.0,3.7424249304916377,292.7389010452857,0.11733227628387238,0.16713384723195515,38.80554986676755,0.2860284904453855,0.2860284904453855,0.2860284904453855,1.0,1.0,0.0,1.0,203632900.0,203632900.0,203632900.0,1.0,1.0,1.0,4.9107978131235175e-09,4.9107978131235175e-09,4.9107978131235175e-09,-3.203426503814917e-16,7.00770847932726e-05,0.0,0.0,1000000.0,0.0,0.0,0.0
8,Left-Cerebellum-Cortex,"[230, 148, 34]",f106ed736e9e81fababc2a23955efcf05bcef9ab,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",37.62811642885208,0.0,2035.0,f5b1ccaf9d389877a12a7636e0c065b0459a2087,"(1.0, 1.0, 1.0)","(256, 256, 256)","(58, 102, 127, 57, 59, 56)",53104,1,"(np.float64(84.71248870141609), np.float64(137.9937104549563), np.float64(152.6927726724917))","(84.71248870141609, 137.9937104549563, 152.6927726724917)",0.9404855547134693,0.8555048479916603,45.05018027028881,52.659175896017814,59.405386961116584,67.20119046564577,59.23681287847955,69.06518659932803,53066.666666666664,49.52519425332046,0.38072522183144947,17937.15999202573,0.3380118088949572,53104.0,8.0,8.0,3398656.0,-3.203426503814917e-16,0.0,0.0,8.0,0.0,8.0,8.0,8.0,0.0,0.0,8.0,0.0,3398656.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,2.6477615778586783,18403.417557999397,0.3465542625414168,19.432172762224507,53104.0,0.0,1.0,603.1390102440494,603.1390102440494,603.1390102440494,1.0,0.0020784703659468538,0.0020784703659468538,0.0020784703659468538,5800.538461538462,1.0,0.0,1.0,158.80249514837274,158.80249514837274,158.80249514837274,1.0,4.484580682233707,337.0665903861014,0.05576637723886869,0.10922978422601805,59.971335381659664,0.14275784457416724,0.14275784457416724,0.14275784457416724,1.0,1.0,0.0,1.0,2820034816.0,2820034816.0,2820034816.0,1.0,1.0,1.0,3.546055510826715e-10,3.546055510826715e-10,3.546055510826715e-10,-3.203426503814917e-16,1.8830973184694185e-05,0.0,0.0,1000000.0,0.0,0.0,0.0
10,Left-Thalamus,"[0, 118, 14]",f106ed736e9e81fababc2a23955efcf05bcef9ab,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",37.62811642885208,0.0,2035.0,f3992a61d609c40321a80301079f9f3e9ed9be05,"(1.0, 1.0, 1.0)","(256, 256, 256)","(96, 78, 122, 34, 25, 26)",7264,1,"(np.float64(111.32626651982379), np.float64(90.38257158590308), np.float64(134.27560572687224))","(111.32626651982379, 90.38257158590308, 134.27560572687224)",0.5800469941775133,0.4958231922591522,16.532251413650023,33.343037743601755,35.84689665786984,25.612496949731394,33.61547262794322,37.107950630558946,7234.166666666667,19.340528819923573,0.7341178663836214,2464.018726969467,0.3406085096605645,7264.0,10.0,10.0,726400.0,-3.203426503814917e-16,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,726400.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,2.5344421150333334,2751.65390969163,0.3788069809597508,20.742599964946923,7264.0,0.0,1.0,602.266795154185,602.266795154185,602.266795154185,1.0,0.002095310258910005,0.002095310258910005,0.002095310258910005,806.0769230769231,1.0,0.0,1.0,126.31343409592871,126.31343409592871,126.31343409592871,1.0,3.9938474861562856,60.40976992500542,0.0711121897366153,0.1109687394103694,28.40241361351565,0.12173330777398045,0.12173330777398045,0.12173330777398045,1.0,1.0,0.0,1.0,52765696.0,52765696.0,52765696.0,1.0,1.0,1.0,1.8951706805876303e-08,1.8951706805876303e-08,1.8951706805876303e-08,-3.203426503814917e-16,0.00013766519823788548,0.0,0.0,1000000.0,0.0,0.0,0.0
11,Left-Caudate,"[122, 186, 220]",f106ed736e9e81fababc2a23955efcf05bcef9ab,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",37.62811642885208,0.0,2035.0,9f65d8f83587c323a72b4bc08d3be67b8f318bad,"(1.0, 1.0, 1.0)","(256, 256, 256)","(101, 67, 127, 51, 25, 17)",2962,1,"(np.float64(133.54355165428765), np.float64(78.50877785280215), np.float64(134.881836596894))","(133.54355165428765, 78.50877785280215, 134.881836596894)",0.40485313299870385,0.1844569442876939,8.259834630506399,44.7792012515598,48.373546489791295,25.298221281347036,41.773197148410844,52.25897052181568,2924.5416666666665,18.12899991987346,0.505090595460876,1958.033198843367,0.6695179696567953,2962.0,11.0,11.0,358402.0,-3.203426503814917e-16,0.0,0.0,11.0,0.0,11.0,11.0,11.0,0.0,0.0,11.0,0.0,358402.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.7508812468984374,349.80621201890614,0.11809797839936062,28.41546330038694,2962.0,0.0,1.0,487.52059419311274,487.52059419311274,487.52059419311274,1.0,0.0030002595823786634,0.0030002595823786634,0.0030002595823786634,634.9230769230769,1.0,0.0,1.0,47.354788756772464,47.354788756772464,47.354788756772464,1.0,3.253052722604683,91.94218361269147,0.1270120596679326,0.21435620422791252,13.868331308479139,0.19974419730916773,0.19974419730916773,0.19974419730916773,1.0,1.0,0.0,1.0,8773444.0,8773444.0,8773444.0,1.0,1.0,1.0,1.1398032517219008e-07,1.1398032517219008e-07,1.1398032517219008e-07,-3.203426503814917e-16,0.00033760972316002703,0.0,0.0,1000000.0,0.0,0.0,0.0
12,Left-Putamen,"[236, 13, 176]",f106ed736e9e81fababc2a23955efcf05bcef9ab,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",37.62811642885208,0.0,2035.0,aae8e6a359a681a896a4ab2ab1515c577968087e,"(1.0, 1.0, 1.0)","(256, 256, 256)","(108, 77, 135, 40, 25, 20)",3753,1,"(np.float64(129.1089794830802), np.float64(88.3013589128697), np.float64(146.35891286970423))","(129.1089794830802, 88.3013589128697, 146.35891286970423)",0.536462018505935,0.2868915404505839,10.58683647445563,36.90187747546769,40.80441152620633,24.73863375370596,31.575306807693888,41.78516483155236,3707.8333333333335,19.796455677148092,0.5516159517231409,2100.200596140797,0.5664225997592837,3753.0,12.0,12.0,540432.0,-3.203426503814917e-16,0.0,0.0,12.0,0.0,12.0,12.0,12.0,0.0,0.0,12.0,0.0,540432.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.4535535424015515,642.9547029043432,0.17131753341442665,26.681292997398867,3753.0,0.0,1.0,521.4444444444445,521.4444444444445,521.4444444444445,1.0,0.0026361837814851256,0.0026361837814851256,0.0026361837814851256,686.6153846153846,1.0,0.0,1.0,58.22714416101046,58.22714416101046,58.22714416101046,1.0,3.512175645385623,78.44305110243032,0.10454300094742626,0.18295107503740599,15.609548520238699,0.16604536728268282,0.16604536728268282,0.16604536728268282,1.0,1.0,0.0,1.0,14085009.0,14085009.0,14085009.0,1.0,1.0,1.0,7.09974697211766e-08,7.09974697211766e-08,7.09974697211766e-08,-3.203426503814917e-16,0.0002664535038635758,0.0,0.0,1000000.0,0.0,0.0,0.0
13,Left-Pallidum,"[12, 48, 255]",f106ed736e9e81fababc2a23955efcf05bcef9ab,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",37.62811642885208,0.0,2035.0,49f1ccdceab55e5e55db885cc8d4d46b7e6acb65,"(1.0, 1.0, 1.0)","(256, 256, 256)","(112, 84, 133, 25, 15, 17)",1797,1,"(np.float64(125.49582637729549), np.float64(91.47134112409572), np.float64(141.87312186978298))","(125.49582637729549, 91.47134112409572, 141.87312186978298)",0.530695668102237,0.34224720508458983,8.625477404495314,25.20247726307492,27.784887978899608,15.811388300841896,19.4164878389476,28.089143810376278,1774.7083333333333,13.374845508958979,0.6666307770351805,1063.367599201076,0.5991787941874446,1797.0,13.0,13.0,303693.0,-3.203426503814917e-16,0.0,0.0,13.0,0.0,13.0,13.0,13.0,0.0,0.0,13.0,0.0,303693.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.4564999801942973,297.09348914858094,0.16532748422291652,27.846626836479153,1797.0,0.0,1.0,509.18141346688924,509.18141346688924,509.18141346688924,1.0,0.002690097226431058,0.002690097226431058,0.002690097226431058,349.7692307692308,1.0,0.0,1.0,44.63513662154745,44.63513662154745,44.63513662154745,1.0,3.2852196834412672,42.980379427806426,0.11418680794464219,0.1946406403835452,9.758063167505902,0.16715706748540982,0.16715706748540982,0.16715706748540982,1.0,1.0,0.0,1.0,3229209.0,3229209.0,3229209.0,1.0,1.0,1.0,3.096733596369885e-07,3.096733596369885e-07,3.096733596369885e-07,-3.203426503814917e-16,0.0005564830272676684,0.0,0.0,1000000.0,0.0,0.0,0.0
14,3rd-Ventricle,"[204, 182, 142]",f106ed736e9e81fababc2a23955efcf05bcef9ab,3D,"(1.0, 1.0, 1.0)","(256, 256, 256)",37.62811642885208,0.0,2035.0,7a0a8d53cc2f6637e28320d6cd7a02d3f508b76c,"(1.0, 1.0, 1.0)","(256, 256, 256)","(103, 88, 118, 34, 18, 9)",1767,1,"(np.float64(121.84436898698358), np.float64(96.38200339558574), np.float64(122.63950198075835))","(121.84436898698358, 96.38200339558574, 122.63950198075835)",0.4095702146401102,0.19247825486891595,6.7041486344066294,34.83068068635793,32.38826948140329,16.76305461424021,34.785054261852174,35.07135583350036,1741.1666666666667,14.265609364772756,0.6273371302758246,1115.6895391569208,0.6407712486782353,1767.0,14.0,14.0,346332.0,-3.203426503814917e-16,0.0,0.0,14.0,0.0,14.0,14.0,14.0,0.0,0.0,14.0,0.0,346332.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-3.2034265038149176e-16,1,1.0,2.0,-3.2034265038149176e-16,0.0,3.5135472483174226,268.01301641199774,0.15167686271193986,27.975426361877453,1767.0,0.0,1.0,493.6508205998868,493.6508205998868,493.6508205998868,1.0,0.0027398637983360994,0.0027398637983360994,0.0027398637983360994,368.38461538461536,1.0,0.0,1.0,45.8684193329437,45.8684193329437,45.8684193329437,1.0,3.002927980992969,59.51789495663173,0.14935189276958433,0.20848025771625095,12.144934857608689,0.1420823293444401,0.1420823293444401,0.1420823293444401,1.0,1.0,0.0,1.0,3122289.0,3122289.0,3122289.0,1.0,1.0,1.0,3.202778474382096e-07,3.202778474382096e-07,3.202778474382096e-07,-3.203426503814917e-16,0.0005659309564233164,0.0,0.0,1000000.0,0.0,0.0,0.0
